exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
GATE Mock — Set 01,verbal,mcq,"If ‘→’ denotes increasing order of intensity, then the meaning of the words [walk → jog → sprint] is analogous to [bothered → _________ → daunted]. Which one of the given options is appropriate to fill the blank?","[""Phased"",""Phrased"",""Fazed"",""Fused""]",Fazed,‘→’ denotes increasing intensity: bothered → fazed → daunted fits; others don’t convey increasing worry.,easy,"analogy,verbal-ability",,,,
GATE Mock — Set 01,aptitude,mcq,"Two wizards try to create a spell using all the four elements (water, air, fire, earth) in all possible orders, working independently. How many attempts does each wizard make?","[""24"",""48"",""16"",""12""]",24,Permutations of 4 distinct elements = 4! = 24.,easy,"permutations,arrangements,numerical-ability",,,,
GATE Mock — Set 01,logical,mcq,"In a college of 10,000 students, 1,500 like neither core nor other branches. Core branch likers = 1/4 of other branch likers. Both = 500. Find the number of students who like core branches.","[""1800"",""3500"",""1600"",""1500""]",1800,C∪O=10000−1500=8500; let C=O/4; C∩O=500 ⇒ 8500=C+O−500=5C−500 ⇒ C=1800.,easy,"set-theory,venn,logical-reasoning",,,,
GATE Mock — Set 01,logical,mcq,"For positive non-zero real x and y, if (1/2)·ln[(ln x + ln y)/2] = (ln x + ln y)/2, then the value of (x²+y²)/(xy) is:","[""1"",""1/2"",""2"",""4""]",2,Simplifying with log properties and antilog gives x²+y²=2xy ⇒ (x²+y²)/(xy)=2.,hard,"logarithms,algebra,logical-reasoning",,,,
GATE Mock — Set 01,aptitude,mcq,"In the sequence 6, 9, 14, x, 30, 41, a possible value of x is:","[""25"",""21"",""18"",""20""]",21,"Pattern adds consecutive odd numbers: +3, +5, +7, +9, +11 ⇒ x=14+7=21.",easy,"number-series,sequences,numerical-ability",,,,
GATE Mock — Set 01,aptitude,mcq,"A person sells two items at the same price, gaining 10% on one and losing 10% on the other. The overall result is:","[""1% profit"",""2% profit"",""1% loss"",""2% loss""]",1% loss,Equal SP case: Net loss% = (p²/100). For p=10 ⇒ 1% loss.,easy,"profit-loss,percentage,numerical-ability",,,,
GATE Mock — Set 01,logical,mcq,"The pie charts depict the shares of various power generation technologies in 2007 and 2023. Renewables = Hydro+Solar+Wind. Assuming total electricity is the same, what is the percentage increase in renewable share?","[""25%"",""50%"",""77.5%"",""62.5%""]",62.50%,2007 renewables = 30+5+5=40%. 2023 renewables = 35+20+10=65%. Increase = (65−40)/40×100 = 62.5%.,easy,"data-interpretation,pie-chart,logical-reasoning",,,,
GATE Mock — Set 01,logical,mcq,A cube is cut into 8 equal pieces using straight cuts end-to-end. Minimum number of such cuts required is:,"[""3"",""4"",""7"",""8""]",3,"Three orthogonal cuts (x, y, z axes) yield 8 equal cubes.",easy,"spatial-reasoning,logical-reasoning",,,,
GATE Mock — Set 01,logical,mcq,"In a 4×4 array, each number equals the count of immediate neighbors (including diagonals) NOT having X. Last row has no X. What is the sum of the four numbers in the last row?","[""11"",""10"",""12"",""9""]",11,"Last row neighbor counts: 2,4,3,2. Sum = 11.",medium,"grids,puzzles,logical-reasoning",,,,
GATE Mock — Set 01,coa,mcq,"A computer with 4 MHz processor has a DMA controller that transfers 8 bytes in 1 cycle via cycle stealing. If 1% of processor cycles are used for DMA, what is the data transfer rate (in bits/sec)?","[""25,60,000"",""32,00"",""25,60,000"",""32,000""]","25,60,000","Cycle time = 0.25 µs. 1% ⇒ 25 µs interval. In 25 µs, 8 bytes (64 bits) transferred ⇒ (64/25×10⁻⁶) = 2.56×10⁶ bps = 25,60,000.",medium,"computer-organization,dma,throughput",,,,
GATE Mock — Set 01,digital-logic,mcq,"Let p = 'Fail grade can be given', q = 'Student scores >50%'. Consider: 'Fail grade cannot be given when student scores >50%'. Which is the correct propositional logic representation?","[""q -> ¬p"",""q -> p"",""p -> q"",""¬q -> p""]",q -> ¬p,Given statement means if q is true then fail grade cannot be given ⇒ q → ¬p.,easy,"propositional-logic,boolean-algebra",,,,
GATE Mock — Set 01,c-programming,mcq,"C program with right-to-left parameter evaluation:\n#include <stdio.h>\nint g(int p){printf(\%d\""","p);return p;}\nint h(int q){printf(\""%d\""",q);return q;}\nvoid f(int x,int y){g(x);h(y);} \nint main(){f(g(10),"h(20));}\nWhat is the correct output?""","[""20101020"",""10202010"",""20102010"",""10201020""]",20101020,"Evaluation order: h(20) → prints 20, g(10) → prints 10. Then f(10,20) calls g(x) (prints 10), h(y) (prints 20). Total: 20101020.",medium,"evaluation-order,c-programming,functions"
GATE Mock — Set 01,algorithms,mcq,"Recurrence: T(0)=1, T(1)=2, T(n)=5·T(n−1)−6·T(n−2), n≥2. Which statement is TRUE?","[""Θ(2^n)"",""Θ(n·2^n)"",""Θ(3^n)"",""Θ(n·3^n)""]",Θ(2^n),"Characteristic polynomial: r²−5r+6=0 ⇒ roots 2,3. General solution C₁·2^n+C₂·3^n. Growth is exponential. Given base, dominant solution behaves like Θ(2^n).",medium,"recurrence,complexity-analysis,algorithms",,,,
GATE Mock — Set 01,mathematics,mcq,Let f(x) be continuous on R such that f(x)=1−f(2−x). Find ∫₀² f(x) dx.,"[""0"",""1"",""2"",""−1""]",1,Using property ∫₀² f(x) dx = ∫₀² (1−f(2−x)) dx = 2−∫₀² f(x) dx ⇒ 2I=2 ⇒ I=1.,medium,"calculus,definite-integral,engineering-mathematics",,,,
GATE Mock — Set 01,data-structures,mcq,Let A be the adjacency matrix of a simple undirected graph G. Suppose A is its own inverse. Which statement is always TRUE?,"[""G is a cycle"",""G is a perfect matching"",""G is a complete graph"",""No such graph""]",G is a perfect matching,"If A=A⁻¹ ⇒ A²=I. For a simple undirected graph adjacency matrix, this implies each vertex connects to exactly one other ⇒ perfect matching.",medium,"graph-theory,adjacency-matrix,data-structures",,,,
GATE Mock — Set 01,mathematics,mcq,"When six unbiased dice are rolled simultaneously, the probability of getting all distinct numbers (1–6) is:","[""1/324"",""5/324"",""7/324"",""11/324""]",5/324,Favorable outcomes = 6! = 720. Total = 6⁶ = 46656. Probability = 720/46656 = 5/324.,medium,"probability,combinatorics,engineering-mathematics",,,,
GATE Mock — Set 01,database,mcq,"Once a DBMS informs the user that a transaction is successfully completed, its effect should persist even if the system crashes. This property is called:","[""Durability"",""Atomicity"",""Consistency"",""Isolation""]",Durability,ACID properties: Durability ensures committed changes persist despite failures. Ensured by recovery management.,easy,"acid-properties,durability,database",,,,
GATE Mock — Set 01,database,mcq,"In the ER model, considering owner and weak entity sets, which is TRUE?","[""Weak entity must have total participation"",""Owner entity must have total participation"",""Both must have total participation"",""Neither must have total participation""]",Weak entity must have total participation,"By definition, weak entities require total participation in the identifying relationship with their owner entity.",easy,"er-model,weak-entity,database",,,,
GATE Mock — Set 01,compiler-design,mcq,"Match the following: Set X → Set Y. P: Lexical Analyzer, Q: Syntax Analyzer, R: Intermediate Code Generator, S: Code Optimizer.","[""P-4; Q-1; R-3; S-2"",""P-2; Q-3; R-1; S-4"",""P-2; Q-1; R-3; S-4"",""P-4; Q-3; R-2; S-1""]",P-2; Q-3; R-1; S-4,"Lexical → Token; Syntax → Parse Tree; ICG → Abstract Syntax Tree; Optimizer → Constant Folding → mapping is P-2, Q-3, R-1, S-4.",medium,"matching,lexical-analysis,syntax,compiler-design",,,,
GATE Mock — Set 01,toc,mcq,Which regular expression matches the language of the given DFA (odd number of 1s)?,"[""0*1(0 10*1)*"",""0*(10*11)*0*"",""0*1(010*1)*0*"",""0(1 0*10*1)*0*""]",0*1(0 10*1)*,"Reach final with 0*1, then loop using either 0 or (10*1) any number of times → odd number of 1s.",medium,"regular-expressions,dfa,theory-of-computation",,,,
GATE Mock — Set 01,computer-networks,mcq,"TCP from X→Y via router R; S is the first Ethernet switch. When the packet leaves X, which statement is TRUE about its destination addresses?","[""The destination MAC address is the MAC address of S"",""The destination IP address is the IP address of R"",""The destination IP address is the IP address of Y"",""The destination MAC address is the MAC address of Y""]",The destination IP address is the IP address of R,Given answer key marks the destination IP as router R for this question.,medium,"ip-forwarding,addresses,networking",,,,
