exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹496 sold at 18% profit. What is SP (₹)?,"[""575"",""595"",""585"",""605""]",585,SP = CP×(1 + p/100) = 496×(1+18/100) = 585.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹104 sold at 17% profit. What is SP (₹)?,"[""132"",""112"",""122"",""142""]",122,SP = CP×(1 + p/100) = 104×(1+17/100) = 122.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹760 sold at 8% profit. What is SP (₹)?,"[""811"",""831"",""821"",""841""]",821,SP = CP×(1 + p/100) = 760×(1+8/100) = 821.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,"Find the average of [39, 54, 12, 80].","[""48"",""46"",""44"",""50""]",46,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹936 sold at 15% profit. What is SP (₹)?,"[""1096"",""1066"",""1076"",""1086""]",1076,SP = CP×(1 + p/100) = 936×(1+15/100) = 1076.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,"In ratio 7:2, what is A's share out of total 476?","[""375"",""380"",""365"",""370""]",370,Share = total×a/(a+b) = 476×(7/9) = 370.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,"Find the average of [72, 72, 16, 59, 44, 92].","[""59"",""61"",""57"",""63""]",59,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹764 sold at 33% profit. What is SP (₹)?,"[""1026"",""1006"",""1036"",""1016""]",1016,SP = CP×(1 + p/100) = 764×(1+33/100) = 1016.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹193 sold at 7% profit. What is SP (₹)?,"[""227"",""197"",""217"",""207""]",207,SP = CP×(1 + p/100) = 193×(1+7/100) = 207.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,"Find the average of [62, 42, 30, 27].","[""38"",""40"",""44"",""42""]",40,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,"Find the average of [96, 80, 94, 75, 27].","[""74"",""76"",""72"",""78""]",74,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,What is 28% of 191?,"[""58"",""48"",""63"",""53""]",53,28% of 191 = (28/100)×191 = 53.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹586 sold at 10% profit. What is SP (₹)?,"[""655"",""665"",""645"",""635""]",645,SP = CP×(1 + p/100) = 586×(1+10/100) = 645.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,"Find the average of [67, 15, 29, 46, 49].","[""39"",""43"",""41"",""45""]",41,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,What is 17% of 104?,"[""13"",""23"",""28"",""18""]",18,17% of 104 = (17/100)×104 = 18.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,What is 8% of 210?,"[""17"",""27"",""22"",""12""]",17,8% of 210 = (8/100)×210 = 17.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹237 sold at 19% profit. What is SP (₹)?,"[""292"",""282"",""272"",""302""]",282,SP = CP×(1 + p/100) = 237×(1+19/100) = 282.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,aptitude,mcq,An item with CP ₹228 sold at 34% profit. What is SP (₹)?,"[""296"",""306"",""326"",""316""]",306,SP = CP×(1 + p/100) = 228×(1+34/100) = 306.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 07,quant,mcq,"A completes work in 6 days, B in 8 days. Together, how many days?","[""3.4"",""3.9"",""4.4"",""2.4""]",3.4,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 07,quant,mcq,"A completes work in 7 days, B in 10 days. Together, how many days?","[""4.6"",""4.1"",""3.0999999999999996"",""5.1""]",4.1,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 07,quant,mcq,Number of permutations of 6 different objects taken all at a time:,"[""360"",""720"",""726"",""719""]",720,6! permutations.,mixed,"permutations,quant"
Soft Skills Mastery — Mock 07,quant,mcq,Number of permutations of 6 different objects taken all at a time:,"[""360"",""719"",""720"",""726""]",720,6! permutations.,mixed,"permutations,quant"
Soft Skills Mastery — Mock 07,quant,mcq,"A completes work in 11 days, B in 11 days. Together, how many days?","[""6.5"",""4.5"",""6"",""5.5""]",5.5,Time = AB/(A+B).,mixed,"time&work,quant"
