exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
GATE Mock — Set 02,verbal,mcq,"If ‘→’ denotes increasing order of intensity, then the meaning of the words [dry → arid → parched] is analogous to [diet → fast → _______]. Which one of the given option is appropriate to fill the blank?","[""Starve"",""Reject"",""Feast"",""Deny""]",Starve,dry→arid→parched shows rising intensity of lack of moisture; diet→fast→starve mirrors increasing food abstinence/severity.,easy,"analogy,verbal-ability"
GATE Mock — Set 02,logical,mcq,"If two distinct non-zero variables x and y are such that (x+y) is proportional to (x−y), then the value of x/y is","[""Depends on xy"",""Depends only on x and not on y"",""Depends only on y and not on x"",""is a constant""]",is a constant,"(x+y)=k(x−y) ⇒ x(1+k)=y(−1+k) ⇒ x/y=(k−1)/(k+1), a constant (for fixed k).",medium,"algebra,proportionality,logical-reasoning"
GATE Mock — Set 02,aptitude,mcq,"Consider the sample: 9, 18, 11, 14, 15, 17, 10, 69, 11, 13. The median is","[""13.5"",""14"",""11"",""18.7""]",13.5,"Sorted: 9,10,11,11,13,14,15,17,18,69. Median = (5th+6th)/2 = (13+14)/2 = 13.5.",easy,"statistics,median,numerical-ability"
GATE Mock — Set 02,aptitude,mcq,"The numbers of coins of ₹1, ₹5, and ₹10 are in the ratio 5:3:13. Of the total amount, the percentage in ₹5 coins is","[""21%"",""2/7·100%"",""10%"",""30%""]",10%,"Let counts be 5x,3x,13x ⇒ amounts 5x,15x,130x ⇒ total 150x; share of ₹5 coins = 15x/150x = 10%.",easy,"ratio-percentage,numerical-ability"
GATE Mock — Set 02,logical,mcq,"For positive non-zero p and q, if log(p²+q²)=log p + log q + 2 log 3, then the value of (p⁴+q⁴)/(p²q²) is","[""79"",""81"",""9"",""83""]",79,From log(p²+q²)=log(pq)+log 9 ⇒ p²+q²=9pq. Then (p⁴+q⁴)/(p²q²)=((p²+q²)²−2p²q²)/(p²q²)=(81−2)=79.,medium,"algebra,logs,logical-reasoning"
GATE Mock — Set 02,verbal,mcq,"Fill the blanks: “Steve was advised to keep his head __(i)__ before heading __(ii)__ to bat; for, while he had a head __(iii)__ batting, he could only do so with a cool head __(iv)__ his shoulders.”","[""(i) down (ii) down (iii) on (iv) for"",""(i) on (ii) down (iii) for (iv) on"",""(i) down (ii) out (iii) for (iv) on"",""(i) on (ii) out (iii) on (iv) for""]",(i) down (ii) out (iii) for (iv) on,Idiomatic/prepositional fit: head down; heading out; head for (talent for) batting; head on (one’s shoulders).,medium,"grammar,fill-in-the-blanks,verbal-ability"
GATE Mock — Set 02,logical,mcq,A 54 cm × 4 cm sheet is rolled (long edges joined) into a cylinder. A cube with the same surface area as the sheet is also taken. The ratio (volume of cylinder)/(volume of cube) is,"[""1/π"",""2/π"",""3/π"",""4/π""]",1/π,"Sheet area 216 cm² ⇒ cube side a=6 ⇒ V_cube=216. Cylinder: circumference=54⇒r=27/π, h=4 ⇒ V=πr²h=216/π. Ratio=(216/π)/216=1/π.",medium,"mensuration,geometry,logical-reasoning"
GATE Mock — Set 02,logical,mcq,"A 2,000 kcal diet has macronutrient percentages as in the pie chart; fats (unsaturated+saturated+trans) total 45%. Given 9 kcal/g for fats, total fat grams consumed is","[""44.4"",""77.8"",""100"",""3600""]",100,45% of 2000 kcal = 900 kcal from fat; at 9 kcal/g ⇒ 900/9 = 100 g.,easy,"data-interpretation,units,logical-reasoning"
GATE Mock — Set 02,logical,mcq,A 20 cm × 8 cm rectangle is folded 3 times along the line of symmetry perpendicular to its long edge. The final folded sheet perimeter (cm) is,"[""18"",""24"",""20"",""21""]",18,Each fold halves the long side: 20→10→5; short side halves once to 4. Final L×B = 5×4 ⇒ perimeter = 2(5+4)=18 cm.,medium,"spatial-reasoning,folding,logical-reasoning"
GATE Mock — Set 02,spatial-aptitude,mcq,Least number of squares to add so that AB becomes a line of symmetry (per the figure) is,"[""6"",""4"",""5"",""7""]",6,Adding the six mirrored squares across AB yields bilateral symmetry about AB.,easy,"symmetry,figures,spatial-aptitude"
GATE Mock — Set 02,mathematics,mcq,"Let f:ℝ→ℝ with f(x)=max{x³,x}. The set of all points where f(x) is NOT differentiable is","[""{−1,1,2}"",""{−2,−1,1}"",""{0,1}"",""{−1,0,1}""]","{−1,0,1}","Non-differentiability occurs where branches switch: solve x³=x ⇒ x(x−1)(x+1)=0 ⇒ x∈{−1,0,1}. Left/right derivatives differ (3x² vs 1).",medium,"piecewise,differentiability,calculus"
GATE Mock — Set 02,mathematics,mcq,"The product of all eigenvalues of the matrix [[1,2,3],[4,5,6],[7,8,9]] is","[""−1"",""0"",""1"",""2""]",0,"Product of eigenvalues equals det(A). Here det=0, so the product is 0.",easy,"linear-algebra,determinant,eigenvalues"
GATE Mock — Set 02,digital-logic,mcq,5-bit two’s complement numbers A=01010 and B=11010. Which operation overflows/underflows?,"[""A + B"",""A − B"",""B − A"",""2*B""]",A − B,"A=10, B=−6. A−B=16, which is outside 5-bit range [−16,15] ⇒ overflow. Others are within range.",medium,"two's-complement,overflow,number-systems"
GATE Mock — Set 02,mathematics,mcq,"Pick TRUE: random permutation of {1,2,3,…,n}, n≥4. X: 1 before 2. Y: 3 before 4.","[""X and Y are mutually exclusive"",""X and Y are independent"",""Either X or Y must occur"",""X more likely than Y""]",X and Y are independent,"P(X)=P(Y)=1/2 and P(X∩Y)=1/4 (e.g., n=4), so P(X∩Y)=P(X)P(Y).",easy,"probability,independence,permutations"
