exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags,,,,,,,,,,,,,,,,,
GATE Mock — Set 05,c,mcq,Consider the C program that builds a 4-node singly linked list and then advances head=head->next in a loop printing values twice per index. Which is correct?,"[""Program loops forever"",""Compiler error due to missing return"",""Creates a list of five nodes"",""Dereferences an uninitialized pointer, possible run-time error""]","Dereferences an uninitialized pointer, possible run-time error","After printing index 3 first line, advancing head=head->next dereferences NULL (no 5th node).",easy,pointers,linked-list,,,,,,,,,,,,,,,,
GATE Mock — Set 05,ds,mcq,Min-heap H of n elements (array). Worst-case time to find the maximum?,"[""Θ(log n)"",""Θ(1)"",""Θ(n log n)"",""Θ(n)""]",Θ(n),Maximum resides among leaves ⇒ scan ~n/2 leaves ⇒ Θ(n).,easy,heaps,complexity,,,,,,,,,,,,,,,,
GATE Mock — Set 05,c,mcq,"2D array int a[4][5]; a[i][j]=10i+j. What does printf(""%d""(a[1]+9)) print?","[""20"",""24"",""30"",""14""]",24,a[1] points to row 1; adding 9 moves to row 2 col 4 (0-based): value 24.,easy,arrays,pointer-arithmetic,pointer-arithmetic,,,,,,,,,,,,,,,
GATE Mock — Set 05,algo,mcq,String “aabbccddeee”. Assign binary codes satisfying given properties; among all valid assignments what is encoded length?,"[""25"",""23"",""21"",""30""]",23,Using Huffman (with given tie rules) yields lengths giving total 23 (as per provided frequencies/constraints).,medium,compression,huffman,huffman,,,,,,,,,,,,,,,
GATE Mock — Set 05,algo,mcq,For constants a≥1,b>1: T(n)=a·T(n/b)+f(n). Which is correct?,"[""If f(n)=Θ(n^{log_b a}), then T(n)=Θ(n^{log_b a}·log n)"",""If f(n)=Θ(n^{log_b a−ε}), ε>0, then T(n)=Θ(n^{log_b a})"",""If f(n)=n^2/log n, then T(n)=Θ(n^2 (log n))"",""If f(n)=n^2 log n, then T(n)=Θ(n^2 log n · log n)""]","If f(n)=Θ(n^{log_b a−ε}), ε>0, then T(n)=Θ(n^{log_b a})",By Master Theorem: case 1 applies to (B). Others as stated are not generally correct.,medium,recurrences,master-theorem,,,,,,,,,,,,,,,
GATE Mock — Set 05,graphs,mcq,Let G be connected undirected weighted. S1: There exists a minimum edge weight in G that is in every MST. S2: If all edge weights are distinct G has a unique MST.,"[""S1 true, S2 false"",""S1 false, S2 true"",""Both true"",""Both false""]","S1 false, S2 true",S1 need not hold (ties among minimum-weight edges may not all appear). Distinct weights imply unique MST.,easy,mst,,graph-theory,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),algo,mcq,Worst-case number of arithmetic operations in recursive binary search on size n array?,"[""Θ(n^2)"",""Θ(log n)"",""Θ(n)"",""Θ(n log n)""]",Θ(log n),One comparison per level of recursion; depth ⌈log2 n⌉.,easy,search,complexity,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),architecture,mcq,IEEE-754 single-precision: which is the smallest normalized positive number?,"[""E=00000000, M=000…0"",""E=00000001, M=000…1"",""E=00000001, M=000…0"",""E=00000000, M=000…1""]","E=00000001, M=000…0","Smallest normalized: exponent field 1 (actual −126), mantissa all zeros.",easy,ieee754,floating-point,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),architecture,msq,2-byte unsigned int on little-endian is 255 more than on big-endian. Which hex values (little-endian) satisfy?,"[""0x4243"",""0x6665"",""0x0001"",""0x0100""]","[""0x6665"",""0x0100""]","LE 0x6665=26213, BE 0x6566=25958 ⇒ diff=255. LE 0x0100=256, BE 0x0001=1 ⇒ diff=255.",medium,endianness,number-systems,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),os,msq,Two processes P1 P2 each spawn two threads running foo() with a lock L1 protecting x and local y. Which are correct?,"[""At least one process prints x=4"",""Both processes print x=2"",""At least one thread prints y=2"",""All four threads print y=1""]","[""Both processes print x=2"",""All four threads print y=1""]",Each process has its own x initialized to 0; two locked increments ⇒ x=2 per process. y is local to foo ⇒ each thread prints 1.,easy,threads,synchronization,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),os,msq,CPU scheduling: which statements are correct?,"[""Round Robin works without knowing CPU burst times a priori"",""Preemptive scheduling needs hardware support"",""Goal is only maximize CPU utilization and minimize throughput"",""Turnaround time includes waiting time""]","[""Round Robin works without knowing CPU burst times a priori"",""Preemptive scheduling needs hardware support"",""Turnaround time includes waiting time""]",RR uses time quantum regardless of burst; preemption needs timer/interrupt; TAT=Waiting+Burst (+I/O etc.).,easy,scheduling,metrics,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),toc,mcq,Regular languages: S1) Every infinite regular language has a subset that is undecidable. S2) Every finite language is regular.,"[""Both true"",""Only S1 true"",""Only S2 true"",""Both false""]",Both true,Any infinite set has undecidable subsets; all finite languages are regular.,easy,regular-languages,decidability,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),toc,msq,Regular expressions for all binary numbers divisible by 3 (ε counted divisible). Select all correct:,"[""(0*(1(010)1))"",""(0+11+10(1+00)01)"",""(0+1(010)1)"",""(0+11+11(1+00)00)"" ]","[""(0(1(010)1))"",""(0+11+10(1+00)01)"",""(0+1(010)1)""]","(A),(B),(C) generate multiples of 3 in binary; (D) generates strings not divisible by 3.",hard,regular-expressions,modular-arithmetic,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),compilers,mcq,Liveness analysis for two statements S1; S2 in a basic block. Which is true?,"[""Out(S1)=In(S2) ∪ Use(S2)"",""Out(S1)=In(S2) ∩ Use(S2)"",""Out(S1)=In(S2)"",""Out(S1)=In(S1) ∪ Use(S1)""]",Out(S1)=In(S2),"In a straight-line basic block, successors of S1 is S2, so Out(S1)=In(S2).",easy,dataflow,liveness,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),compilers,mcq,C code: int main(){ Integer x; return 0; } Which compiler phase throws an error?,"[""Lexical analyzer"",""Semantic analyzer"",""Machine-dependent optimizer"",""Syntax analyzer""]",Semantic analyzer,“Integer” is tokenized as an identifier; syntax is valid as a declaration if it were a typedef. The error is that the type name is undeclared → semantic error.,easy,compiler-phases,semantics,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),compilers,msq,Which of the following is NOT an intermediate representation (IR)?,"[""Three-address code"",""Symbol table"",""Control-flow graph"",""Abstract syntax tree""]",Symbol table,"Symbol table is a data structure, not an IR. TAC/CFG/AST are IRs.",easy,ir,definitions,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),architecture,mcq,Two-level inclusive caches (L1 write-through) statements: S1) Read misses in write-through L1 don’t write back dirty lines to L2. S2) Write-allocate must be used with write-through and no-write-allocate with write-back. Which is correct?,"[""S1 true, S2 true"",""S1 false, S2 false"",""S1 true, S2 false"",""S1 false, S2 true""]","S1 true, S2 false",Read miss in WT L1 does not cause L1 writeback. Write-allocate can be used with write-back (and often is); S2 is false.,medium,caches,policies,,,,,,,,,,,,,,,,
GATE Mock — Set 04 (CS),dbms,mcq,Relational model: S1) A relation cannot have more than one foreign key. S2) A foreign key in R cannot reference tuples of R.,"[""S1 true, S2 false"",""S2 true, S1 true"",""Both true"",""Both false""]",Both false,Relations can have multiple FKs; self-referencing FKs are allowed.,easy,keys,integrity,,,,,,,,,,,,,,,,
GATE Mock — Set 05,networks,mcq,CRC generator g(x)=x^3+x+1; message m=1100 (m4..m0). What are the 3 CRC bits c2c1c0?,"[""111"",""110"",""101"",""100""]",100,Long division of 11000 by 1011 leaves remainder 100.,easy,crc,error-detection,,,,,,,,,,,,,,,,
GATE Mock — Set 05,linear-algebra,mcq,Set 𝓛 of 10-D nonzero real vectors such that any two distinct are orthogonal. Max |𝓛|?,"[""10"",""11"",""9"",""100""]",10,Max number of mutually orthogonal nonzero vectors equals the dimension.,easy,vector-spaces,orthogonality,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logic,msq,Assertion S: ((P∧Q)→R) → ((P∧Q)→(¬(Q→R))). Which are correct?,"[""S is a contradiction"",""S is a tautology"",""Antecedent equals consequent"",""Neither tautology nor contradiction""]","[""S is a tautology"",""Antecedent equals consequent""]",Both sides simplify to P′ ∨ Q′ ∨ R; thus X→X is a tautology and antecedent=consequent.,medium,propositional-logic,tautologies,,,,,,,,,,,,,,,,
GATE Mock — Set 05,graphs,msq,Given directed graph (with a cycle in lower-left). Which are correct?,"[""DFS from S classifies three back edges"",""No SCCs"",""For every u,v there is a directed path u→v"",""No topological order""]","[""DFS from S classifies three back edges"",""No topological order""]",Graph contains a cycle (so no topo order). There is at least one SCC; and not strongly connected overall.,medium,dfs,dag,,,,,,,,,,,,,,,,
GATE Mock — Set 05,general-aptitude,mcq,A transparent square sheet is folded along the dotted line. Which figure results after folding?,"[""(A)"",""(B)"",""(C)"",""(D)""]",(A),Fold is a mirror along the dotted line; mirroring the left part and overlaying matches option (A).,easy,visual-reasoning,folding,,,,,,,,,,,,,,,,
GATE Mock — Set 05,general-aptitude,mcq,Three classes have students in ratio 3:13:6. After adding 18 to each class the ratio becomes 15:35:21. Total students originally were:,"[""110"",""66"",""22"",""88""]",88,"Let counts be 3x,13x,6x. After +18: (3x+18):(13x+18):(6x+18)=15:35:21 ⇒ x=4 ⇒ total=22x=88.",easy,ratios,algebra,,,,,,,,,,,,,,,,
GATE Mock — Set 05,general-aptitude,mcq,Pen : Write :: Knife : ____,"[""Sharp"",""Cut"",""Blunt"",""Vegetables""]",Cut,"Analogy is object→purpose: pen→write, knife→cut.",easy,analogy,verbal,,,,,,,,,,,,,,,,
GATE Mock — Set 05,general-aptitude,mcq,Solve for x: (x/2)^2 − (x/2) − (x/2) = (x/2)+2,"[""6"",""4"",""8"",""2""]",4,Expand: x^2/4 − x − x/2 = x/2 + 2 ⇒ x^2/4 − (3x/2) = x/2 + 2 ⇒ x^2/4 − 2x − 2 = 0 ⇒ x=4.,easy,algebra,quadratic,,,,,,,,,,,,,,,,
GATE Mock — Set 05,general-aptitude,mcq,Choose the correct sentence: Gauri said that she can play the keyboard ___ her sister.,"[""As worse as"",""As nicest as"",""As better as"",""As well as""]",As well as,Use “as … as” for equality with an adverb: “as well as.”,easy,grammar,english,,,,,,,,,,,,,,,,
GATE Mock — Set 05,general-aptitude,mcq,A 2-piece jigsaw: choose the missing piece to make a rectangle (rotations/flips allowed).,"[""(A)"",""(B)"",""(C)"",""(D)""]",(B),Flipping then rotating piece in (B) fits to complete a rectangle.,easy,spatial-reasoning,puzzles,,,,,,,,,,,,,,,,
