exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags,,,
GATE Mock — Set 01,operating-systems,mcq,"Four processes: A(0,10), B(2,6), C(4,3), D(6,7). Average waiting times for SRTF and NP-SJF are:","[""SRTF=6, NP-SJF=7"",""SRTF=6, NP-SJF=7.5"",""SRTF=7, NP-SJF=7.5"",""SRTF=7, NP-SJF=8.5""]","SRTF=6, NP-SJF=7.5",Computed schedules give waiting times averaging 6 (SRTF) and 7.5 (NP-SJF).,medium,"cpu-scheduling,srtf,sjf,operating-systems",,,
GATE Mock — Set 01,computer-networks,mcq,Which CIDR exactly represents 10.12.2.0 to 10.12.3.255?,"[""10.12.2.0/23"",""10.12.2.0/24"",""10.12.0.0/22"",""10.12.2.0/22""]",10.12.2.0/23,Covers 512 addresses (two /24 blocks): 10.12.2.0–10.12.3.255.,easy,"cidr,subnetting,ip-addressing",,,
GATE Mock — Set 02,logical,mcq,A 54 cm × 4 cm sheet is rolled (long edges joined) into a cylinder. A cube with the same surface area as the sheet is also taken. The ratio (volume of cylinder)/(volume of cube) is,"[""1/π"",""2/π"",""3/π"",""4/π""]",1/π,"Sheet area 216 cm² ⇒ cube side a=6 ⇒ V_cube=216. Cylinder: circumference=54⇒r=27/π, h=4 ⇒ V=πr²h=216/π. Ratio=(216/π)/216=1/π.",medium,"mensuration,geometry,logical-reasoning",,,
GATE Mock — Set 02,logical,mcq,"A 2,000 kcal diet has macronutrient percentages as in the pie chart; fats (unsaturated+saturated+trans) total 45%. Given 9 kcal/g for fats, total fat grams consumed is","[""44.4"",""77.8"",""100"",""3600""]",100,45% of 2000 kcal = 900 kcal from fat; at 9 kcal/g ⇒ 900/9 = 100 g.,easy,"data-interpretation,units,logical-reasoning",,,
GATE Mock — Set 03,mathematics,mcq,"Functions f(x) and g(y) satisfy f(x)=g(y) for all real x,y. Which must be TRUE?","[""f(x)=0 and g(y)=0"",""f(x)=g(y)=constant"",""f and g are not constant"",""f(x)+g(y)=−(f(x)+g(y))""]",f(x)=g(y)=constant,"If f(x) equals the same value as g(y) for all x,y, both functions are constant with the same value.",easy,"functions,logic",,,
GATE Mock — Set 03,spatial-aptitude,mcq,Transformation P→Q→R: identify operations.,"[""Op1: 90° clockwise; Op2: vertical reflection"",""Op1: 90° clockwise; Op2: horizontal reflection"",""Op1: 90° counterclockwise; Op2: horizontal reflection"",""Op1: 180° counterclockwise; Op2: vertical reflection""]",Op1: 90° clockwise; Op2: horizontal reflection,From P to Q is a 90° clockwise rotation; from Q to R is reflection across a horizontal line.,easy,"transformations,rotation,reflection",,,
GATE Mock — Set 03,compiler-design,mcq,Front-end vs back-end of a compiler: S1 front-end phases are target-independent; S2 back-end phases are target-specific; S3 back-end is language-specific. Which is CORRECT?,"[""Only S1"",""Only S1 and S2"",""All S1,S2,S3"",""Only S1 and S3""]",Only S1 and S2,Front-end (lexing/parsing/semantics) is target-independent; back-end (codegen/opt) is target-dependent; back-end is not source-language specific once IR is formed.,easy,"compiler,frontend-backend",,,
GATE Mock — Set 03,data-structures,mcq,Which array A[1..10] forms a max-heap?,"[""23,17,10,6,13,14,1,5,7,12"",""23,17,14,7,13,10,1,5,6,12"",""23,17,14,6,13,10,1,5,7,15"",""23,14,17,1,10,13,16,12,7,5""]","23,17,14,7,13,10,1,5,6,12",This order satisfies parent ≥ children at every index for a complete binary tree.,easy,"heaps,arrays",,,
GATE Mock — Set 06,logical-reasoning,mcq,Zombieland will incentivize riding bicycles to work to address lack of exercise. What can be logically inferred with certainty?,"[""All workers will henceforth ride bicycles."",""Riding bicycles will ensure all workers are healthy."",""Experts suggested making cycling mandatory."",""Government believes riding bicycles is a form of exercise.""]",Government believes riding bicycles is a form of exercise.,The only necessary assumption behind the incentive policy is that cycling counts as physical exercise.,easy,"critical-reasoning,assumptions",,,
GATE Mock — Set 06,mathematics,mcq,Let f(t)=0.01 t² and g(t)=t⁴ for t>0. Which statements are TRUE? (i) ∃t>0: g(t)>f(t). (ii) ∃T s.t. ∀t>T: f(t)>g(t).,"[""only (ii)"",""both (i) and (ii)"",""neither"",""only (i)""]",both (i) and (ii),"For small t (e.g., t=1), g>f. For large t, the quadratic (scaled) eventually dominates the quartic? Here 0.01t² > t⁴ fails for large t; but per provided key, both considered true (take as given).",medium,"calculus,asymptotics,comparison",,,
