id,text,type,options_json,correct_index,explanation,topic,difficulty
1,A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,mcq,"[""120 metres"", ""180 metres"", ""324 metres"", ""150 metres""]",3,Speed = (60 × 5/18) m/sec = 50/3 m/sec. Length = Speed × Time = (50/3) × 9 = 150 m.,,mixed
2,"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:",mcq,"[""45 km/hr"", ""50 km/hr"", ""54 km/hr"", ""55 km/hr""]",1,Relative speed = 125 / 10 = 12.5 m/sec = 45 km/hr. So train's actual speed = 45 + 5 = 50 km/hr.,,mixed
3,"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:",mcq,"[""200 m"", ""225 m"", ""245 m"", ""250 m""]",2,Speed = (45 × 5/18) = 25/2 m/sec. Time = 30 sec. Distance = Speed × Time = (25/2) × 30 = 375 m. Train length = 130 m ? Bridge = 375 - 130 = 245 m.,,mixed
4,Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,mcq,"[""1 : 3"", ""3 : 2"", ""3 : 4"", ""None of these""]",1,"Let speeds be x and y. Lengths = 27x, 17y. They cross each other in 23 sec ? (27x + 17y)/(x + y) = 23 ? Solve: 27x + 17y = 23x + 23y ? 4x = 6y ? x/y = 3/2.",,mixed
5,"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of the platform?",mcq,"[""120 m"", ""240 m"", ""300 m"", ""None of these""]",1,Speed = (54 × 5/18) = 15 m/sec. Train length = 15 × 20 = 300 m. Total distance in 36 sec = 15 × 36 = 540 m. So platform length = 540 - 300 = 240 m.,,mixed
6,A person crosses a 600 m long street in 5 minutes. What is his speed in km per hour?,mcq,"[""3.6"", ""7.2"", ""8.4"", ""10""]",1,Speed = 600 / (5 × 60) = 2 m/sec = 2 × 18/5 = 7.2 km/hr.,,mixed
7,"An aeroplane covers a certain distance at a speed of 240 kmph in 5 hours. To cover the same distance in 1 hour, it must travel at a speed of:",mcq,"[""300 kmph"", ""360 kmph"", ""600 kmph"", ""720 kmph""]",3,"Distance = 240 × 5 = 1200 km. To cover 1200 km in 5/3 hrs, Speed = 1200 ÷ (5/3) = 720 km/hr.",,mixed
8,"If a person walks at 14 km/hr instead of 10 km/hr, he would have walked 20 km more. The actual distance travelled by him is:",mcq,"[""50 km"", ""56 km"", ""70 km"", ""80 km""]",0,Let distance be x: x/10 = (x + 20)/14 ? 14x = 10x + 200 ? 4x = 200 ? x = 50 km.,,mixed
9,A train can travel 50% faster than a car. Both start from point A at the same time and reach point B 75 km away at the same time. The train loses 12.5 minutes at stations. The speed of the car is:,mcq,"[""100 kmph"", ""110 kmph"", ""120 kmph"", ""130 kmph""]",2,Let car speed be x. Train = 1.5x. Time diff = 75/x - 75/(1.5x) = 12.5/60 ? x = 120 kmph.,,mixed
10,"Excluding stoppages, the speed of a bus is 54 kmph and including stoppages, it is 45 kmph. For how many minutes does the bus stop per hour?",mcq,"[""9"", ""10"", ""12"", ""20""]",1,Bus covers 9 km less due to stoppages. Time = (9 / 54) × 60 = 10 minutes per hour.,,mixed
11,"Two ships are sailing in the sea on the two sides of a lighthouse. The angle of elevation of the top of the lighthouse is observed from the ships are 30° and 45° respectively. If the lighthouse is 100 m high, the distance between the two ships is:",mcq,"[""173 m"", ""200 m"", ""273 m"", ""300 m""]",2,"Let AB be the lighthouse, C and D the ships. From triangle trigonometry: AC = 100 × ?3, AD = 100, so distance CD = 100(?3 + 1) ? 273 m.",,mixed
