id,text,type,options_json,correct_index,explanation,topic,difficulty
1,"In a row of 8 people facing North, the left-to-right order is:
H, G, B, D, C, E, F, A.
Who sits immediately to the right of G?",mcq,"[""C"",""D"",""B"",""E""]",2,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
2,"In a row of 8 people facing North, the left-to-right order is:
C, A, H, B, D, G, F, E.
Who sits between E and G?",mcq,"[""E"",""D"",""F"",""H""]",2,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
3,"In a row of 6 people facing North, the left-to-right order is:
B, A, E, F, D, C.
Who sits between C and F?",mcq,"[""D"",""E"",""B"",""C""]",0,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
4,"In a row of 6 people facing North, the left-to-right order is:
B, D, E, F, A, C.
Who sits between B and E?",mcq,"[""D"",""B"",""E"",""A""]",0,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
5,"In a row of 8 people facing North, the left-to-right order is:
E, A, D, G, C, H, B, F.
Who sits immediately to the right of B?",mcq,"[""B"",""A"",""F"",""H""]",2,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
6,"In a row of 8 people facing North, the left-to-right order is:
A, G, D, H, B, E, F, C.
Who sits 2 seats to the right of B?",mcq,"[""G"",""F"",""D"",""H""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
7,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
D < E < B < F < A < C (left is bottom, right is top).
Which box is on the top?",mcq,"[""B"",""F"",""C"",""A""]",2,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
8,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
C < F < B < E < D < A (left is bottom, right is top).
Which box is the 2nd from the top?",mcq,"[""F"",""D"",""B"",""E""]",1,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
9,"Boxes A, B, C, D, E are stacked from bottom to top as:
D < A < C < B < E (left is bottom, right is top).
Which box is the 2nd from the bottom?",mcq,"[""C"",""B"",""A"",""E""]",2,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
10,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
A < B < F < C < E < D (left is bottom, right is top).
Which box is the 2nd from the top?",mcq,"[""E"",""A"",""D"",""B""]",0,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
11,"Boxes A, B, C, D, E are stacked from bottom to top as:
C < A < D < E < B (left is bottom, right is top).
Which box is on the top?",mcq,"[""D"",""A"",""E"",""B""]",3,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
12,"Boxes A, B, C, D, E are stacked from bottom to top as:
A < C < E < D < B (left is bottom, right is top).
Which box is the 2nd from the bottom?",mcq,"[""D"",""A"",""C"",""B""]",2,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
13,"All gardeners are poets. Some poets are singers.
Which conclusion follows?",mcq,"[""Some gardeners may be singers."",""All singers are gardeners."",""No gardeners is singers."",""Some singers are gardeners.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
14,"All students are leaders. Some leaders are doctors.
Which conclusion follows?",mcq,"[""Some students may be doctors."",""All doctors are students."",""No students is doctors."",""Some doctors are students.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
15,"All scientists are artists. Some artists are poets.
Which conclusion follows?",mcq,"[""Some scientists may be poets."",""All poets are scientists."",""No scientists is poets."",""Some poets are scientists.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
16,"All scientists are engineers. Some engineers are students.
Which conclusion follows?",mcq,"[""Some scientists may be students."",""All students are scientists."",""No scientists is students."",""Some students are scientists.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
17,"All leaders are poets. Some poets are scientists.
Which conclusion follows?",mcq,"[""Some leaders may be scientists."",""All scientists are leaders."",""No leaders is scientists."",""Some scientists are leaders.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
18,"All poets are gardeners. Some gardeners are artists.
Which conclusion follows?",mcq,"[""Some poets may be artists."",""All artists are poets."",""No poets is artists."",""Some artists are poets.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
