id,text,type,options_json,correct_index,explanation,topic,difficulty
1,Find LCM of 12 and 12.,mcq,"[""12"",""11"",""14"",""12""]",0,,Number System,mixed
2,Find LCM of 11 and 19.,mcq,"[""211"",""208"",""209"",""207""]",2,,Number System,mixed
3,43 is what percent of 86?,mcq,"[""200"",""45"",""55"",""50""]",3,,Percentages,mixed
4,46 is what percent of 75?,mcq,"[""163.04"",""56.33"",""66.33"",""61.33""]",3,,Percentages,mixed
5,"Cost price = ₹104, Profit = 20%. Find selling price.",mcq,"[""83.2"",""124.8"",""134.8"",""114.8""]",1,,Profit & Loss,mixed
6,"Cost price = ₹219, Profit = 15%. Find selling price.",mcq,"[""261.85"",""186.15"",""241.85"",""251.85""]",3,,Profit & Loss,mixed
7,"Find average of 50, 48, 14, 30.",mcq,"[""37.33"",""36.5"",""34.5"",""35.5""]",3,,Average,mixed
8,"Find average of 15, 10, 45, 12.",mcq,"[""21.5"",""23.33"",""20.5"",""19.5""]",2,,Average,mixed
9,Divide ₹263 in the ratio 6:4. Share of first person?,mcq,"[""105.2"",""157.8"",""131.5"",""263""]",1,,Ratio & Proportion,mixed
10,Divide ₹302 in the ratio 2:7. Share of first person?,mcq,"[""234.89"",""67.11"",""151"",""302""]",1,,Ratio & Proportion,mixed
11,Equal volumes of 25% and 42% salt solutions are mixed. Final concentration?,mcq,"[""42"",""38.5"",""33.5"",""25""]",2,Weighted average of equal volumes is mean.,Mixtures,mixed
12,Equal volumes of 28% and 50% salt solutions are mixed. Final concentration?,mcq,"[""50"",""28"",""44"",""39""]",3,Weighted average of equal volumes is mean.,Mixtures,mixed
13,"A can finish in 12 days, B in 9 days. In how many days together?",mcq,"[""9"",""21"",""12"",""5.14""]",3,1/T=1/a+1/b,Time & Work,mixed
14,"A can finish in 6 days, B in 13 days. In how many days together?",mcq,"[""4.11"",""6"",""19"",""13""]",0,1/T=1/a+1/b,Time & Work,mixed
15,A car at 58 km/h for 2 h covers how many km?,mcq,"[""126"",""106"",""60"",""116""]",3,,Speed–Distance–Time,mixed
16,A car at 57 km/h for 5 h covers how many km?,mcq,"[""295"",""62"",""275"",""285""]",3,,Speed–Distance–Time,mixed
17,Two pipes fill a tank in 6 min and 15 min. Together time? (min),mcq,"[""4.29"",""21"",""15"",""90""]",0,Same as Work.,Pipes & Cisterns,mixed
18,Two pipes fill a tank in 9 min and 8 min. Together time? (min),mcq,"[""72"",""4.24"",""9"",""17""]",1,Same as Work.,Pipes & Cisterns,mixed
19,Solve: 9x + 8 = 18. Find x.,mcq,"[""2.1100000000000003"",""0.1100000000000001"",""2.888888888888889"",""1.11""]",3,,Algebra,mixed
20,Solve: 9x + 4 = 32. Find x.,mcq,"[""4.109999999999999"",""4"",""2.11"",""3.11""]",3,,Algebra,mixed
