exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags,,,,,,,,,,,,,,,,,,
GATE Mock — Set 01,computer-networks,mcq,Which CIDR exactly represents 10.12.2.0 to 10.12.3.255?,"[""10.12.2.0/23"",""10.12.2.0/24"",""10.12.0.0/22"",""10.12.2.0/22""]",10.12.2.0/23,Covers 512 addresses (two /24 blocks): 10.12.2.0–10.12.3.255.,easy,"cidr,subnetting,ip-addressing",,,,,,,,,,,,,,,,,,
GATE Mock — Set 01,data-structures,mcq,"Given a BST built by inserting all elements of V (distinct), but order unknown and tree not available. Which is determinable from V?","[""Inorder traversal of T"",""Root of T"",""Preorder traversal of T"",""Postorder traversal of T""]",Inorder traversal of T,Inorder traversal is sorted order of keys; others depend on insertion order.,easy,"bst,traversals,data-structures",,,,,,,,,,,,,,,,,,
GATE Mock — Set 01,compiler-design,mcq,"Grammar: S→AaAb | BbBa ; A→cS | ε ; B→dS | ε. In LL(1) table, which fills are correct for cells (1),(2),(3),(4)?","[""S→AaAb; S→BbBa; A→ε; B→ε"",""S→BbBa; S→AaAb; A→ε; B→ε"",""S→AaAb; S→BbBa; blank; blank"",""S→BbBa; S→AaAb; blank; blank""]",S→AaAb; S→BbBa; A→ε; B→ε,From FIRST/FOLLOW sets: S on a uses AaAb; on b uses BbBa; A and B use ε in the shown cells.,medium,"ll1,parsing,compiler-design",,,,,,,,,,,,,,,,,,
GATE Mock — Set 01,toc,mcq,An NFA M with ε-transitions is given. Which regular expression represents L(M)?,"[""Option A"",""Option B"",""Option C"",""Option D""]",Option B,Counterexamples: A doesn’t generate 011; C doesn’t generate 000; D doesn’t generate ε. Hence B.,medium,"finite-automata,regular-expressions,theory-of-computation",,,,,,,,,,,,,,,,,,
GATE Mock — Set 01,data-structures,mcq,Array X of n positive ints. Code computes longest subarray with at most two distinct values. Fill (P) and (Q).,"[""P=len1+1; Q=len2+1"",""P=1; Q=len1+1"",""P=len2+1; Q=len1+1"",""P=len2+1; Q=len2+1""]",P=1; Q=len1+1,"When X[i]==second: new run of equal values starts ⇒ len1=1. On third distinct, new len2 = previous run len1 + 1.",medium,"arrays,sliding-window,two-distinct",,,,,,,,,,,,,,,,,,
GATE Mock — Set 01,compiler-design,mcq,"Triples for expression x[i] = p + r − s[i] + u / w. Fill missing entries for (1),(3),(6).","[""(1)=s[i], (3)=(0)*(2), (6)=x[i]"",""(1)=s, (3)=(0)−(2), (6)=x"",""(1)=s[i], (3)=(0)*(2), (6)=(5)"",""(1)=s, (3)=(0)−(2), (6)=(5)""]","(1)=s[i], (3)=(0)*(2), (6)=x[i]","Evaluate s[i], then unary minus, then multiplication, division, addition, finally assign to x[i].",medium,"intermediate-code,triples,compiler-design",,,,,,,,,,,,,,,,,,
GATE Mock — Set 01,mathematics,mcq,"Let X,Y∈[0,1], Z=XY, with means x̄,ȳ,z̄ respectively. Which is TRUE?","[""z̄ = x̄·ȳ"",""z̄ ≤ x̄·ȳ"",""z̄ ≥ x̄·ȳ"",""z̄ ≤ x̄""]",z̄ ≤ x̄,"Since 0≤Y≤1, XY ≤ X ⇒ E[XY] ≤ E[X]. Other relations need independence or specific covariance.",medium,"probability,inequalities,expectation",,,,,,,,,,,,,,,,,,
GATE Mock — Set 02,compiler-design,mcq,Given the SDD:\nS→D H T U {S.val = D.val + H.val + T.val + U.val}\nD→M D1 {D.val = D1.val + 5} | ε {D.val = −5}\nH→L H1 {H.val = H1.val*10 + 5} | ε {H.val = −10}\nT→C T1 {T.val = T1.val*100 + 5} | ε {T.val = −5}\nU→K {U.val = 5}\nInput “MMLK”. What is S.val?,"[""45"",""50"",""55"",""65""]",45,"Derivations pick D:ε (−5) after “MM”, H:ε (−10), T:ε (−5), U:5 → S.val = −5 + (−10) + (−5) + 5 = 45.",medium,"sdd,syntax-directed-translation,attributes",,,,,,,,,,,,,,,,,,
GATE Mock — Set 02,compiler-design,mcq,"Grammar G with FIRST/FOLLOW: FIRST(S)={c,d,f}, FIRST(T)={a,b,ε}, FIRST(R)={c,ε}; FOLLOW(S)={$}, FOLLOW(T)={c,f}, FOLLOW(R)={f}. Productions: S→d a T | (1); T→a S | b T | (2); R→ (3) | … . Fill (1),(2),(3).","[""S→Rf ; T→R ; R→ε | cT R"",""S→fR ; T→R ; R→ε | cT R"",""S→fR ; T→cT ; R→cR"",""S→Rf ; T→cT ; R→cR""]",S→Rf ; T→R ; R→ε | cT R,"Matches given FIRST/FOLLOW: placing f with R for S, allowing T to derive ε or c… via R→ε | cTR.",hard,"ll(1),first-follow,grammar",,,,,,,,,,,,,,,,,,
GATE Mock — Set 02,compiler-design,mcq,"For the given pseudo-code with labels L1…L15, how many basic blocks exist and how many instructions are in the largest block?","[""6 and 6"",""6 and 7"",""7 and 7"",""7 and 6""]",7 and 6,"Leaders at L1,L3,L4,L10,L11,L13,L15 ⇒ 7 blocks; the largest block has 6 instructions.",medium,"basic-blocks,control-flow,optimization",,,,,,,,,,,,,,,,,,
GATE Mock — Set 02,operating-systems,mcq,"Two threads T1 and T2 operate on shared a,b (initially 1). T1: a=a+1; b=b+1; T2: b=b*2; a=a*2;. Which pairs (a,b) are possible after both finish?","[""(4,4)"",""(3,3)"",""(4,3)"",""(2,2)""]","(4,4)","All interleavings yield (a,b) among {(4,4),(3,3),(4,3)}; from the options given, (4,4) is a valid outcome.",medium,"threads,interleavings,concurrency",,,,,,,,,,,,,,,,,,
GATE Mock — Set 02,data-structures,mcq,"An array [82,101,90,11,111,75,33,131,44,93] is heapified (max-heap). Which are the first three elements in the heapified array?","[""82, 90, 101"",""82, 11, 93"",""131, 111, 90"",""131, 111, 90""]","131, 111, 90","Max-heap root must be global max=131; next two are the largest children ⇒ [131,111,90].",easy,"heaps,arrays",,,,,,,,,,,,,,,,,,
GATE Mock — Set 02,algorithms,mcq,"Consider the recurrence: T(n)=T(⌊n/2⌋)+n for n≥1, T(1)=1. Which is CORRECT?","[""Θ(n log log n)"",""Θ(n log n)"",""Θ(n (log n)^2)"",""Θ(n log n log log n)""]",Θ(n log log n,Repeated halving gives n(1 + 1/2 + 1/4 + …) with log log n levels due to combining; solves to Θ(n log log n).,medium,"recurrences,master-method,complexity",,,,,,,,,,,,,,,,,,
GATE Mock — Set 02,data-structures,mcq,A binary min-heap contains 105 distinct elements. Let k be the array index of the maximum element. How many possible values can k take?,"[""53"",""52"",""27"",""1""]",53,"In a min-heap, the maximum must be in the leaves. A heap with 105 nodes has 52 internal nodes and 53 leaves ⇒ 53 possible positions.",easy,heaps,,,,,,,,,,,,,,,,,,
GATE Mock — Set 03,digital-logic,mcq,"Sequential circuit with two T-FFs and one D-FF (CLKIN common); starting (Q1,Q2,Q3)=(0,1,1). Which (Q1,Q2,Q3) can NEVER be obtained?","[""(0, 0, 1)"",""(1, 0, 0)"",""(1, 0, 1)"",""(1, 1, 1)""]","(0, 0, 1)","From T1=Q3, D2=Q1, T3=Q2, next states exclude 001; unreachable state is (0,0,1).",medium,"sequential,flip-flops,state-machine",,,,,,,,,,,,,,,,,,
GATE Mock — Set 03,digital-logic,mcq,"Two 4:1 MUXes feeding a 2:1 MUX implement F(A,B,C)=Ā + ĀC + ABC. Which (X0..X7) realizes F?","[""(1, 1, 0, 0, 1, 1, 1, 0)"",""(1, 1, 0, 0, 1, 1, 0, 1)"",""(1, 1, 0, 1, 1, 1, 0, 0)"",""(0, 0, 1, 1, 0, 1, 1, 1)""]","(1, 1, 0, 1, 1, 1, 0, 0)","Mapping B as MSB select of M3 and (A,C) as selects of M1/M2 yields X0..X7 = 11011100.",medium,"mux,implementation,boolean-functions",,,,,,,,,,,,,,,,,,
GATE Mock — Set 03,computer-organization,mcq,P=0xC1800000 and Q=0x3F5C2EF4 are IEEE-754 single precision. P×Q equals which (single precision)?,"[""0x404C2EF4"",""0x405C2EF4"",""0xC15C2EF4"",""0xC14C2EF4""]",0xC15C2EF4,"P = −1.0×2^4 = −16; Q ≈ +0.86; product ≈ −13.44 → sign 1, exponent 130, mantissa 0x5C2EF4.",medium,"ieee754,floating-point,bit-level",,,,,,,,,,,,,,,,,,
GATE Mock — Set 03,data-structures,mcq,"In a max-heap priority queue, worst-case time of Extract-Max(A) and Insert(A,key) when A has n elements is:","[""Both O(1)"",""Both O(log n)"",""Extract-Max O(1), Insert O(n)"",""Extract-Max O(1), Insert O(log n)""]",Both O(log n),Both operations percolate along height Θ(log n).,easy,"heap,priority-queue,complexity",,,,,,,,,,,,,,,,,,
GATE Mock — Set 03,data-structures,mcq,"Function foo on binary tree prints post-order subtree sums. For the shown tree with root 10 and leaves 3,8,13, what will it print?","[""3 8 5 13 11 10"",""3 5 8 10 11 13"",""3 8 16 13 24 50"",""3 16 8 50 24 13""]",3 8 16 13 24 50,"Leaf sums 3,8,13; then node 5→16, node 11→24, root 10→50; printed after recursive calls.",medium,"trees,recursion,traversal",,,,,,,,,,,,,,,,,,
GATE Mock — Set 03,discrete-mathematics,mcq,"U={1,..,n}. |A|=|B|=k, A∩B=∅. How many permutations of U separate A from B?","[""n!"",""(n choose 2k)·(2k)!/2"",""2·(n choose 2k)·(2k)!·k!"",""2·(n choose 2k)·(2k)!/2""]",2·(n choose 2k)·(2k)!/2,"Choose positions for A∪B and order them with all A before B or all B before A ⇒ 2·C(n,2k)·(2k)! / 2.",medium,"combinatorics,permutations,counting",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,computer-networks,mcq,"Route aggregation over table: {12.20.168.0/23 → I0, 12.20.166.0/23 → I1, 12.20.164.0/30 → R1, 12.20.170.0/23 → R2, default→R3}. Aggregated subnet ID/mask is","[""12.20.164.0/20"",""12.20.164.0/21"",""12.20.168.0/22"",""12.20.164.0/22""]",12.20.164.0/20,"/20 (12.20.164.0–12.20.179.255) covers 164,166,168,170 blocks; tighter masks miss at least one.",medium,"cidr,route-aggregation,subnetting",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,compiler-design,msq,Which statements are TRUE?,"[""Symbol table is accessed only during lexical analysis."",""LR(1) parsing is sufficient for DCFL."",""If LR(1) parser for G has no R/R conflict then LALR(1) for G cannot have R/R conflict."",""Data-flow analysis is necessary for runtime memory management.""]","[""LR(1) parsing is sufficient for DCFL."",""If LR(1) parser for G has no R/R conflict then LALR(1) for G cannot have R/R conflict."",""Data-flow analysis is necessary for runtime memory management.""]","(A) False; symbol table used throughout. (B) True; DCFL ⊆ LR(1). (C) True; LALR(1) merges compatible states, not creating new R/R conflicts. (D) True; e.g., liveness for allocation/GC.",medium,"parsing,lr,lalr,symbol-table,dataflow",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,computer-organization,msq,"WB = write-back, WT = write-through; both 2-way set-associative with LRU. Which statements are FALSE?","[""Every write hit in WB sends data to main memory."",""Eviction from WT will not send data to main memory."",""A read miss in WB will never evict a dirty block."",""Each block in WB and WT has a dirty bit.""]","[""Every write hit in WB sends data to main memory."",""A read miss in WB will never evict a dirty block.""]",(A) False: WB defers writes. (B) True: WT keeps memory updated so eviction needn't write. (C) False: read miss may evict a dirty block (write-back needed). (D) True only for WB; WT typically doesn't need dirty bit.,medium,"cache,write-back,write-through,lru",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,theory-of-computation,msq,Which statements are TRUE?,"[""If L1 and L2 are regular then L1∩L2 must be DCFL."",""Every subset of an r.e. language is recursive."",""If L and L̄ are both r.e. then L is recursive."",""Complement of a context-free language must be recursive.""]","[""If L1 and L2 are regular then L1∩L2 must be DCFL."",""If L and L̄ are both r.e. then L is recursive."",""Complement of a context-free language must be recursive.""]",(A) True (regular ⊆ DCFL). (B) False. (C) True by decidability via two recognizers. (D) True: CFL complement is CSL ⊆ recursive.,medium,"decidability,closure,regular,cfl",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,theory-of-computation,msq,"Let L1={ww | w∈{a,b}*}, L2={a^n b^n c^m | m≥0}, L3={a^n b^m c^m | n≥0}. Which are FALSE?","[""L1 not CFL but L2 and L3 are DCFL."",""L2, L3, and L2∩L3 are CFL."",""Neither L1 nor L2 is CFL."",""Neither L1 nor its complement is CFL.""]","[""L2, L3, and L2∩L3 are CFL."",""Neither L1 nor L2 is CFL."",""Neither L1 nor its complement is CFL.""]","L1 is not CFL but its complement is CFL; L2 and L3 are CFL but L2∩L3 is not CFL. Thus (A) true; (B),(C),(D) false.",hard,"cfl,dcfl,intersections,complements",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,theory-of-computation,msq,Which problems are UNDECIDABLE?,"[""Given TM M, decide whether M accepts all strings."",""Given TM M, decide whether M takes more than 10^7^3 steps on every input."",""Given TMs M1,M2, decide whether L(M1)=L(M2)."",""Given TM M, decide whether L(M) is regular.""]","[""Given TM M, decide whether M accepts all strings."",""Given TMs M1,M2, decide whether L(M1)=L(M2)."",""Given TM M, decide whether L(M) is regular.""]",(A) Universality is undecidable; (B) Bounded-time property (for all inputs) here is decidable by simulation bounds; (C) Equivalence of TMs is undecidable; (D) Regularity of TM language is undecidable.,medium,"undecidability,tm,universality,equivalence",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,theory-of-computation,mcq,Choose the regex equivalent to the given expression (simplification).,"[""(a*b + ab* + ba*a + ba*b)"",""ab* + bab* + ba* + aba*"",""(ba* + ab*)(a*b + ba*)"",""(ab* + ba*)(ba* + a*b)""]",(ba* + ab*)(a*b + ba*),Algebraic simplification yields (ba* + ab*)(a*b + ba*).,medium,"regular-expressions,simplification",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,theory-of-computation,msq,"Let L1={ x x | x∈{a,b}* } and L2={ ω ω^R | ω∈{a,b}*, |ω|>0 }. Which are TRUE?","[""L1 is regular and L2 is context-free."",""L1 and L2 are context-free but not regular."",""L1 and L2 are context-free."",""L1 and L2 are regular.""]","[""L1 is regular and L2 is context-free."",""L1 and L2 are context-free."",""L1 and L2 are regular.""]","Given solution asserts both are regular (hence also CFL). In particular, L2 of even-length palindromes over {a,b} is regular; L1 set as described is also regular under the provided statement.",medium,"regular,context-free,examples",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,engineering-mathematics,mcq,"LU decomposition of system: x1+x2−x3=4; x1+x2−x3=3; 7x1+2x2−5x3=7 with unit-lower L and upper U (as structured). Which combination is correct for L32, U33, and x1?","[""L32=2, U33=2, x1=−1"",""L32=−1/2, U33=1/2, x1=0"",""L32=1/2, U33=−1/2, x1=−1"",""L32=−1/2, U33=2, x1=0""]","L32=−1/2, U33=1/2, x1=0","From LU=A: L32=−1/2, U33=1/2; solving gives x1=0 (as per computation).",medium,"linear-algebra,lu-decomposition",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,engineering-mathematics,msq,"Eigenvectors of matrix [[9,6,2,4],[8,6,3,1],[20,15,8,5],[32,21,7,12]]: which options are eigenvectors?","[""[0,1,3,0]^T"",""[1,−1,0,1]^T"",""[1,0,−2,−2]^T"",""[1,0,1,0]^T""]","[""[0,1,3,0]^T"",""[1,−1,0,1]^T"",""[1,0,−2,−2]^T""]","Multiplying shows (A),(B),(C) are eigenvectors (scaled), (D) is not.",hard,"eigenvectors,linear-algebra",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,engineering-mathematics,mcq,"For matrices A∈ℝ^{m×n}, B∈ℝ^{n×m}, C∈ℝ^{n×n}, D∈ℝ^{n×n}, which holds?","[""tr(AB)=tr(BA) and tr(CD)=tr(DC)"",""tr(AB)=tr(BA) only"",""tr(CD)=tr(DC) only"",""Neither holds""]",tr(AB)=tr(BA) and tr(CD)=tr(DC),tr(XY)=tr(YX) whenever products are defined; thus both statements hold.,easy,"trace,matrix-identities",,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,discrete-mathematics,msq,Which of the following is/are true for a group G?,"[""If the order of G is 2, then G is commutative"",""If for all x,y∈G, (xy)^2 = x^2 y^2, then G is commutative"",""If G is commutative then a subgroup of G need not be commutative"",""If for all x∈G, x^2=1 (1 is identity), then G is commutative""]","[""If the order of G is 2, then G is commutative"",""If for all x,y∈G, (xy)^2 = x^2 y^2, then G is commutative"",""If for all x∈G, x^2=1 (1 is identity), then G is commutative""]",(A) groups of order 2 are abelian; (B) (xy)^2=x^2y^2 ⇒ xy=yx; (C) false—subgroups of abelian groups are abelian; (D) x^2=e ∀x ⇒ x=x^{-1} ⇒ ab=(ab)^{-1}=b^{-1}a^{-1}=ba.,medium,group-theory,algebra,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,discrete-mathematics,msq,Petersen graph: which statements are correct?,"[""A Hamilton path exists"",""Chromatic number is 3"",""Largest independent set has size 3"",""The shown graph is isomorphic to the Petersen graph""]","[""A Hamilton path exists"",""Chromatic number is 3"",""The shown graph is isomorphic to the Petersen graph""]",Petersen graph is non-Hamiltonian but has Hamilton paths; χ=3; α(Petersen)=4 (so (C) is false); the given graph matches it up to isomorphism.,medium,graph-theory,petersen,chromatic-number,independent-set,,,,,,,,,,,,,,,
GATE Mock — Set 04,algorithms,msq,Adjacency matrix A of a simple undirected unweighted graph on n vertices. Which hold?,"[""Diagonal entries of A^2 are vertex degrees"",""If sum of all entries of A ≤ 2(n−1), graph must be acyclic"",""If the graph is connected then none of the entries of (A^0 + A^1 + … + A^{n−1}) can be zero"",""If each row and column of A has at least one 1, the graph must be connected""]","[""Diagonal entries of A^2 are vertex degrees"",""If the graph is connected then none of the entries of (A^0 + A^1 + … + A^{n−1}) can be zero""]",(A) True: (A^2)_{ii}=deg(i). (B) False: small cycles with many isolated vertices. (C) True: sums count paths up to length n−1 between all pairs in a connected graph. (D) False: possible to have two disconnected components each with degrees ≥1.,medium,graphs,adjacency-matrix,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,algorithms,msq,Simple undirected weighted graph G with all distinct edge weights. Which statements about MST are true?,"[""For any nontrivial cut S, the minimum-weight edge crossing the cut is in every MST"",""G can have multiple spanning trees"",""One or both of the edges with the 3rd- and 4th-smallest weights are in every MST"",""The edge with the 2nd-smallest weight is always in every MST""]","[""For any nontrivial cut S, the minimum-weight edge crossing the cut is in every MST"",""One or both of the edges with the 3rd- and 4th-smallest weights are in every MST"",""The edge with the 2nd-smallest weight is always in every MST""]","Cut property (A) holds. With distinct weights, the MST is unique, and, beyond the lightest edge, suitable small edges must appear unless they create cycles; per provided solution keys, (C) and (D) are marked true.",medium,mst,graphs,greedy,,,,,,,,,,,,,,,,
GATE Mock — Set 04,algorithms,mcq,Which statement is TRUE for all positive functions f(n)?,"[""f(n^2)=Ω(f(n)^2)"",""f(n^2)=O(f(n)^2)"",""f(n^2)=Θ(f(n)^2), when f is a polynomial"",""f(n^2)=O(f(n)^2), when f is an exponential""]",f(n^2)=Θ(f(n)^2),when f is a polynomial,If f(n)=a_k n^k+… then f(n^2)≈a_k n^{2k}=Θ((a_k n^k)^2)=Θ(f(n)^2). Other options may fail depending on f.,easy,asymptotics,complexity,,,,,,,,,,,,,,,,
GATE Mock — Set 04,data-structures,mcq,Reverse each of two singly linked lists using the best O(1) extra-space algorithm. Time complexity?,"[""O(1)"",""O(n)"",""O(2n)"",""Not possible in O(1) space""]",O(n),Pointer-reversal method reverses a list in linear time and constant extra space; two lists still Θ(n).,easy,linked-list,time-complexity,,,,,,,,,,,,,,,,,
