id,text,type,options_json,correct_index,explanation,topic,difficulty
1,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: The shelf policy was:",mcq,"[""Paid borrowing"",""Members-only"",""Take & leave"",""No returns""]",2,Answer follows directly from the passage.,Reading Comprehension,mixed
2,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: Result of the initiative?",mcq,"[""Less diversity"",""Fewer visits"",""Hostile debates"",""Friendly ritual""]",3,Answer follows directly from the passage.,Reading Comprehension,mixed
3,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: Who curated the shelf?",mcq,"[""Publishers"",""Librarians only"",""Readers"",""Sponsors""]",2,Answer follows directly from the passage.,Reading Comprehension,mixed
4,"Passage:
A science museum scheduled short 'demo hours' where staff explained one concept with simple props. Visitors stayed longer at these stations and reported better understanding.

Q: What are 'demo hours'?",mcq,"[""Long lectures"",""Snack breaks"",""Short concept demos"",""Movie shows""]",2,Answer follows directly from the passage.,Reading Comprehension,mixed
5,"Passage:
A science museum scheduled short 'demo hours' where staff explained one concept with simple props. Visitors stayed longer at these stations and reported better understanding.

Q: Visitor behavior:",mcq,"[""Left quickly"",""Stayed longer"",""Avoided stations"",""Ignored staff""]",1,Answer follows directly from the passage.,Reading Comprehension,mixed
6,"Passage:
A science museum scheduled short 'demo hours' where staff explained one concept with simple props. Visitors stayed longer at these stations and reported better understanding.

Q: Effect on understanding:",mcq,"[""Worse"",""No change"",""Better"",""Unknown""]",2,Answer follows directly from the passage.,Reading Comprehension,mixed
7,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {1}:",mcq,"[""flew"",""flows"",""fly"",""flown""]",1,Use context to choose the best fit.,Cloze Test,mixed
8,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {2}:",mcq,"[""ordering"",""orders"",""ordered"",""order""]",2,Use context to choose the best fit.,Cloze Test,mixed
9,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {3}:",mcq,"[""precisely"",""precis"",""precise"",""precision""]",2,Use context to choose the best fit.,Cloze Test,mixed
10,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {4}:",mcq,"[""lands on"",""landing"",""lands"",""lend""]",2,Use context to choose the best fit.,Cloze Test,mixed
11,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {5}:",mcq,"[""hone in"",""hone up"",""hone"",""honed""]",2,Use context to choose the best fit.,Cloze Test,mixed
12,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {6}:",mcq,"[""service"",""served"",""serves"",""serve""]",3,Use context to choose the best fit.,Cloze Test,mixed
13,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {7}:",mcq,"[""effect"",""affect"",""effective"",""effects""]",0,Use context to choose the best fit.,Cloze Test,mixed
14,She insisted _____ paying the bill.,mcq,"[""to"",""for"",""on"",""at""]",2,The correct preposition/conjunction is “on”.,Fill in the Blanks,mixed
15,Choose the synonym of “diligent”.,mcq,"[""ardent"",""trivial"",""docile"",""hardworking""]",3,“hardworking” means nearly the same as “diligent”.,Vocabulary,mixed
16,Choose the synonym of “vivid”.,mcq,"[""massive"",""clear"",""sturdy"",""trivial""]",1,“clear” means nearly the same as “vivid”.,Vocabulary,mixed
17,Choose the synonym of “abundant”.,mcq,"[""peculiar"",""obsolete"",""harsh"",""plentiful""]",3,“plentiful” means nearly the same as “abundant”.,Vocabulary,mixed
18,Choose the synonym of “tranquil”.,mcq,"[""peculiar"",""calm"",""luminous"",""trivial""]",1,“calm” means nearly the same as “tranquil”.,Vocabulary,mixed
19,Choose the synonym of “benevolent”.,mcq,"[""obsolete"",""brisk"",""infrequent"",""kind""]",3,“kind” means nearly the same as “benevolent”.,Vocabulary,mixed
20,Choose the synonym of “eloquent”.,mcq,"[""persuasive"",""massive"",""peculiar"",""vague""]",0,“persuasive” means nearly the same as “eloquent”.,Vocabulary,mixed
21,Choose the antonym of “amiable”.,mcq,"[""hostile"",""infrequent"",""peculiar"",""luminous""]",0,“hostile” is the opposite of “amiable”.,Vocabulary,mixed
22,Choose the antonym of “eloquent”.,mcq,"[""swift"",""inarticulate"",""coarse"",""trivial""]",1,“inarticulate” is the opposite of “eloquent”.,Vocabulary,mixed
23,Choose the antonym of “succinct”.,mcq,"[""docile"",""coarse"",""luminous"",""wordy""]",3,“wordy” is the opposite of “succinct”.,Vocabulary,mixed
24,Choose the antonym of “impartial”.,mcq,"[""obsolete"",""biased"",""elusive"",""coarse""]",1,“biased” is the opposite of “impartial”.,Vocabulary,mixed
25,One-word substitute: One who does something for the first time,mcq,"[""Hedonist"",""Loquacious"",""Pioneer"",""Graphologist""]",2,Pioneer fits the description.,One-word Substitutes,mixed
26,One-word substitute: A person who talks too much,mcq,"[""Impromptu"",""Loquacious"",""Cannibal"",""Graphologist""]",1,Loquacious fits the description.,One-word Substitutes,mixed
27,Meaning of the idiom: “Once in a blue moon”,mcq,"[""Stop working on something"",""Make people feel more comfortable"",""Avoid the main topic"",""Very rarely""]",3,“Once in a blue moon” means “Very rarely”.,Idioms & Phrases,mixed
28,Meaning of the idiom: “Hit the sack”,mcq,"[""Undecided"",""Face a difficult situation"",""Reveal a secret"",""Go to sleep""]",3,“Hit the sack” means “Go to sleep”.,Idioms & Phrases,mixed
29,They _____ the project next week.,mcq,"[""gone"",""will go"",""goes"",""go""]",1,Correct tense is “will go”.,Grammar,mixed
30,We _____ dinner when he arrived.,mcq,"[""are finishing"",""had finished"",""have finished"",""were finishing""]",3,Correct tense is “were finishing”.,Grammar,mixed
31,They _____ the task by 6 PM yesterday.,mcq,"[""finishing"",""finishes"",""finish"",""finished""]",3,Correct tense is “finished”.,Grammar,mixed
32,I _____ the project next week.,mcq,"[""plan"",""will plan"",""plans"",""planned""]",1,Correct tense is “will plan”.,Grammar,mixed
33,Choose the grammatically correct sentence (fix: “I am knowing the answer.”),mcq,"[""i know the answer."",""I know the answer."",""I am knowing the answer."",""I  am knowing the answer.""]",1,Correct form: “I know the answer.”.,Sentence Correction,mixed
34,Choose the grammatically correct sentence (fix: “Neither Ram nor Shyam are here.”),mcq,"[""neither ram nor shyam is here."",""Neither Ram nor Shyam are here."",""Neither  Ram nor Shyam are here."",""Neither Ram nor Shyam is here.""]",3,Correct form: “Neither Ram nor Shyam is here.”.,Sentence Correction,mixed
35,Choose the grammatically correct sentence (fix: “These kind of mistakes are common.”),mcq,"[""this kind of mistake is common."",""This kind of mistake is common."",""These  kind of mistakes are common."",""These kind of mistakes are common.""]",1,Correct form: “This kind of mistake is common.”.,Sentence Correction,mixed
36,Choose the grammatically correct sentence (fix: “The sceneries here are beautiful.”),mcq,"[""The sceneries here are beautiful."",""the scenery here is beautiful."",""The scenery here is beautiful."",""The  sceneries here are beautiful.""]",2,Correct form: “The scenery here is beautiful.”.,Sentence Correction,mixed
37,Choose the grammatically correct sentence (fix: “He is senior than me.”),mcq,"[""he is senior to me."",""He is senior than me."",""He is senior to me."",""He  is senior than me.""]",2,Correct form: “He is senior to me.”.,Sentence Correction,mixed
38,Choose the grammatically correct sentence (fix: “She do not like tea.”),mcq,"[""She  do not like tea."",""She do not like tea."",""she does not like tea."",""She does not like tea.""]",3,Correct form: “She does not like tea.”.,Sentence Correction,mixed
39,Choose the grammatically correct sentence (fix: “Less students attended the class.”),mcq,"[""fewer students attended the class."",""Less students attended the class."",""Less  students attended the class."",""Fewer students attended the class.""]",3,Correct form: “Fewer students attended the class.”.,Sentence Correction,mixed
40,"Arrange the parts to form a coherent paragraph:
D. Visitors left with curiosity sparked.
C. Volunteers explained the science.
B. Interactive exhibits drew children.
A. The museum opened a new wing.",mcq,"[""BACD"",""CBAD"",""ABCD"",""ACBD"",""CABD"",""BCAD""]",2,Overview → details → activity → close.,Para Jumbles,mixed
41,"Arrange the parts to form a coherent paragraph:
B. Stalls offered regional snacks and handicrafts.
A. The festival drew visitors from many cities.
C. Local musicians performed throughout the day.
D. The park was decorated with lights and banners.",mcq,"[""ABCD"",""BACD"",""CBAD"",""ACBD"",""BCAD"",""CABD""]",0,Overview → details → activity → close.,Para Jumbles,mixed
42,"All poets are dreamers. Some dreamers are teachers.
Which conclusion follows?",mcq,"[""Some poets may be teachers."",""All dreamers are poets."",""No teacher is a poet."",""Some teachers are not dreamers.""]",0,Basic syllogism/logic.,Verbal Reasoning,mixed
43,"All athletes are disciplined. No undisciplined person is a leader.
Which conclusion follows?",mcq,"[""Some leaders are athletes."",""All leaders are athletes."",""Athletes cannot be leaders."",""A disciplined person can be a leader.""]",3,Basic syllogism/logic.,Verbal Reasoning,mixed
44,She is good _____ mathematics.,mcq,"[""at"",""with"",""for"",""in""]",0,The correct preposition/conjunction is “at”.,Fill in the Blanks,mixed
45,We look forward _____ your reply.,mcq,"[""to"",""on"",""at"",""for""]",0,The correct preposition/conjunction is “to”.,Fill in the Blanks,mixed
46,He is allergic _____ peanuts.,mcq,"[""for"",""at"",""with"",""to""]",3,The correct preposition/conjunction is “to”.,Fill in the Blanks,mixed
47,"This problem is tough, _____ we can solve it together.",mcq,"[""but"",""or"",""and"",""so""]",0,The correct preposition/conjunction is “but”.,Fill in the Blanks,mixed
48,The train arrives _____ 7 a.m.,mcq,"[""at"",""by"",""in"",""on""]",0,The correct preposition/conjunction is “at”.,Fill in the Blanks,mixed
49,He is known _____ his honesty.,mcq,"[""with"",""for"",""to"",""by""]",1,The correct preposition/conjunction is “for”.,Fill in the Blanks,mixed
50,I agree _____ your proposal.,mcq,"[""on"",""to"",""at"",""with""]",3,The correct preposition/conjunction is “with”.,Fill in the Blanks,mixed
